Jahr,PLZ,GA,GA_flag,HTA,HTA_flag
2012,2063,26.00,,188.00,
2012,2065,8.01,1,171.00,
2012,2067,8.01,1,97.00,
2012,2068,125.00,,654.00,
2012,2072,184.00,,801.00,
2012,2073,8.01,1,64.00,
2012,2074,142.00,,756.00,
2012,2075,30.00,,162.00,
2012,2087,27.00,,237.00,
2012,2088,47.00,,305.00,
2012,2103,22.00,,73.00,
2012,2105,20.00,,189.00,
2012,2108,47.00,,401.00,
2012,2112,23.00,,181.00,
2012,2113,8.01,1,42.00,
2012,2114,52.00,,486.00,
2012,2115,8.01,1,85.00,
2012,2116,8.01,1,11.43,2
2012,2117,8.01,1,74.00,
2012,2123,8.01,1,50.00,
2012,2124,8.01,1,11.43,2
2012,2126,8.01,1,79.00,
2012,2127,8.01,1,39.00,
2012,2149,8.01,1,32.00,
2012,2206,55.00,,276.00,
2012,2207,8.01,1,88.00,
2012,2208,35.00,,191.00,
2012,2300,836.00,,6121.00,
2012,2314,22.00,,130.00,
2012,2316,32.00,,234.00,
2012,2318,8.01,1,28.00,
2012,2322,8.01,1,45.00,
2012,2325,8.01,1,27.00,
2012,2333,8.01,1,91.00,
2012,2336,8.01,1,192.00,
2012,2338,8.01,1,60.00,
2012,2340,47.00,,276.00,
2012,2345,33.00,,250.00,
2012,2350,40.00,,405.00,
2012,2353,8.01,1,34.00,
2012,2354,8.01,1,22.00,
2012,2360,8.01,1,26.00,
2012,2362,8.01,1,92.00,
2012,2363,8.01,1,11.43,2
2012,2364,8.01,1,32.00,
2012,2400,105.00,,1263.00,
2012,2405,8.01,1,62.00,
2012,2406,8.01,1,65.00,
2012,2414,8.01,1,39.00,
2012,2416,8.01,1,141.00,
2012,2502,2463.00,,6168.00,
2012,2503,1732.00,,4865.00,
2012,2504,1017.00,,3755.00,
2012,2505,138.00,,360.00,
2012,2512,30.00,,128.00,
2012,2513,99.00,,336.00,
2012,2514,83.00,,224.00,
2012,2515,44.00,,241.00,
2012,2516,21.00,,139.00,
2012,2517,8.01,1,88.00,
2012,2518,8.01,1,151.00,
2012,2520,206.00,,986.00,
2012,2523,8.01,1,166.00,
2012,2525,148.00,,875.00,
2012,2532,71.00,,274.00,
2012,2533,172.00,,787.00,
2012,2534,49.00,,248.00,
2012,2535,8.01,1,53.00,
2012,2536,8.01,1,99.00,
2012,2537,8.01,1,73.00,
2012,2538,8.01,1,51.00,
2012,2540,892.00,,4279.00,
2012,2542,195.00,,999.00,
2012,2543,251.00,,1324.00,
2012,2544,247.00,,1341.00,
2012,2545,121.00,,907.00,
2012,2552,131.00,,759.00,
2012,2553,88.00,,586.00,
2012,2554,66.00,,384.00,
2012,2555,296.00,,1203.00,
2012,2556,40.00,,307.00,
2012,2557,184.00,,857.00,
2012,2558,103.00,,584.00,
2012,2560,716.00,,2249.00,
2012,2562,217.00,,1182.00,
2012,2563,329.00,,1542.00,
2012,2564,117.00,,553.00,
2012,2565,39.00,,221.00,
2012,2572,194.00,,826.00,
2012,2575,219.00,,1102.00,
2012,2576,20.00,,166.00,
2012,2577,58.00,,273.00,
2012,2603,63.00,,321.00,
2012,2604,8.01,1,126.00,
2012,2605,74.00,,401.00,
2012,2606,39.00,,332.00,
2012,2607,35.00,,144.00,
2012,2608,62.00,,281.00,
2012,2610,135.00,,1016.00,
2012,2612,29.00,,118.00,
2012,2613,22.00,,214.00,
2012,2615,29.00,,173.00,
2012,2616,25.00,,219.00,
2012,2710,110.00,,633.00,
2012,2712,8.01,1,36.00,
2012,2713,8.01,1,23.00,
2012,2714,8.01,1,64.00,
2012,2715,8.01,1,11.43,2
2012,2716,8.01,1,11.43,2
2012,2717,8.01,1,22.00,
2012,2718,8.01,1,94.00,
2012,2720,120.00,,735.00,
2012,2722,8.01,1,64.00,
2012,2723,8.01,1,27.00,
2012,2732,92.00,,458.00,
2012,2733,8.01,1,40.00,
2012,2735,128.00,,588.00,
2012,2736,8.01,1,57.00,
2012,2738,49.00,,241.00,
2012,2740,387.00,,1651.00,
2012,2742,8.01,1,69.00,
2012,2743,8.01,1,64.00,
2012,2744,8.01,1,95.00,
2012,2745,22.00,,92.00,
2012,2746,29.00,,120.00,
2012,2747,24.00,,52.00,
2012,2748,8.01,1,29.00,
2012,2762,8.01,1,35.00,
2012,2800,700.00,,3269.00,
2012,2802,42.00,,238.00,
2012,2803,8.01,1,51.00,
2012,2805,28.00,,86.00,
2012,2806,8.01,1,20.00,
2012,2807,8.01,1,56.00,
2012,2812,8.01,1,60.00,
2012,2813,8.01,1,11.43,2
2012,2814,8.01,1,31.00,
2012,2822,107.00,,498.00,
2012,2823,8.01,1,76.00,
2012,2824,72.00,,338.00,
2012,2825,8.01,1,77.00,
2012,2826,24.00,,77.00,
2012,2827,30.00,,133.00,
2012,2828,8.01,1,110.00,
2012,2829,8.01,1,50.00,
2012,2830,75.00,,442.00,
2012,2832,8.01,1,57.00,
2012,2842,45.00,,134.00,
2012,2843,8.01,1,60.00,
2012,2852,107.00,,447.00,
2012,2853,41.00,,245.00,
2012,2854,117.00,,535.00,
2012,2855,41.00,,225.00,
2012,2856,20.00,,92.00,
2012,2857,8.01,1,31.00,
2012,2863,8.01,1,60.00,
2012,2864,8.01,1,31.00,
2012,2873,8.01,1,35.00,
2012,2882,8.01,1,130.00,
2012,2883,8.01,1,11.43,2
2012,2884,8.01,1,11.43,2
2012,2885,8.01,1,27.00,
2012,2886,8.01,1,11.43,2
2012,2887,8.01,1,11.43,2
2012,2888,8.01,1,11.43,2
2012,2889,8.01,1,11.43,2
2012,2900,178.00,,1375.00,
2012,2902,8.01,1,151.00,
2012,2903,8.01,1,40.00,
2012,2904,8.01,1,64.00,
2012,2905,8.01,1,108.00,
2012,2906,8.01,1,87.00,
2012,2907,8.01,1,11.43,2
2012,2908,8.01,1,34.00,
2012,2912,8.01,1,22.00,
2012,2914,8.01,1,11.43,2
2012,2915,8.01,1,75.00,
2012,2916,8.01,1,40.00,
2012,2922,8.01,1,28.00,
